Amuleta cu  Rudraksha,128.00lei
AMULETA CU CEI 3 CELESTI,120.00lei
Amuleta cu Mana lui Fatima,120.00lei
"Amuleta cu rinocerul si elefantul albastru impotriva furturilor, jafurilor si violentelor",80.00lei
Amuleta cu simbolul Dorje aurie,120.00lei
Amuleta cu Stupa Kalachakra si Silaba Hum pe Lotus,80.00lei
Amuleta cu Wou Lou pentru sanatate si protectie,280.00lei
Amuleta cu Wu Luo si Garuda pentru sanatate,118.00lei
Amuleta Feng Shui cu Piciorul lui Buddha – 2018,120.00lei
Amuleta Feng Shui cu Roata Rugaciunilor – 2018,120.00lei
Amuleta pagoda cu cele 5 elemente,180.00lei
AMULETA PENTRU SANATATE CU WOU LOU SI PASAREA GARUDA,80.00lei
Amuleta – Trinitatea Cailor,80.00lei
AMULETA CU CEI 3 CELESTI,120.00lei
Amuleta cu Copacul dorintelor auriu,80.00lei
Amuleta cu Mana lui Fatima,120.00lei
Amuleta cu Pasarea Phoenix,80.00lei
Amuleta cu pepite din jad,10.00lei
Amuleta cu simbolul Dorje aurie,120.00lei
Amuleta cu steaua nordului,80.00lei
Amuleta Feng Shui cu Roata Rugaciunilor – 2018,120.00lei
Amuleta pentru Prosperitate si Succes in Cariera,80.00lei
Amuleta scolastica -( cu Crapul Dragon) pentru educatie si invatatura,80.00lei
Amuleta- Roata rugaciuni verde,80.00lei
Amuleta – Roata rugaciuni roz,80.00lei
Amuleta cu  Rudraksha,128.00lei
AMULETA CU CEI 3 CELESTI,120.00lei
Amuleta cu cifra 8,80.00lei
Amuleta-Umbrela Tibetana,80.00lei
Bratara Calului de Vant pentru atragerea sustinerii divine,120.00lei
Bratara cu cu toate cele 5 Tare,120.00lei
Bratara cu jazi si inima,120.00lei
Bratara de atragere a partenerului ideal cu simbolul dublei fericiri,120.00lei
Bratara de dragoste,120.00lei
Bratara de prosperitate cu Pomul Vietii si cei 5 dragoni,120.00lei
Bratara de protectie universala cu energia tuturor celor 5 elemente,120.00lei
